source,target,letters,source_gender,target_gender
"Forman, David","Washington, George",68,M,M
"Lovell, James","Adams, John",68,M,M
"Washington, George","Stuart, David",68,M,M
"Dufief, Nicolas Gouin","Jefferson, Thomas",68,M,M
"Franklin, Benjamin","Mecom, Jane",67,M,F
"Warren, Mercy Otis","Adams, Abigail Smith",67,F,F
"Lee, Charles","Washington, George",67,M,M
"Washington, George","St. Clair, Arthur",67,M,M
"La Luzerne, Anne-César chevalier de","Washington, George",67,M,M
"Adams, John","Livingston, Robert R.",67,M,M
"Seton, William","Hamilton, Alexander",67,M,M
"Hamilton, Alexander","Ellery, William",67,M,M
"Skipwith, Fulwar","Madison, James",67,M,M
"Franklin, Benjamin","Hewson, Mary Stevenson",66,M,F
"Adams, Abigail Smith","Tufts, Cotton",66,F,M
"Hamilton, Alexander","Seton, William",66,M,M
"Short, William","Hamilton, Alexander",66,M,M
"Hamilton, Alexander","Jefferson, Thomas",66,M,M
"Eaton, William","Madison, James",66,M,M
"Yrujo, Carlos Martínez de","Madison, James",66,M,M
"Gelston, David","Jefferson, Thomas",66,M,M
"Hamilton, Alexander","Hodgdon, Samuel",65,M,M
"Stuart, David","Washington, George",65,M,M
"Cathalan, Stephen Jr.","Jefferson, Thomas",65,M,M
"Patterson, Robert","Jefferson, Thomas",65,M,M
"Nicholas, Wilson Cary","Jefferson, Thomas",65,M,M
"Adams, Louisa Catherine Johnson","Adams, Abigail Smith",65,F,F
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Franklin, Benjamin",64,M,M
"Humphreys, David","Washington, George",64,M,M
"Madison, James","Armstrong, John",64,M,M
"Arnold, Benedict","Washington, George",63,M,M
"Dumas, Charles-Guillaume-Frédéric","Adams, John",63,M,M
"Cabell, William H.","Jefferson, Thomas",63,M,M
"Hamilton, Alexander","Ogden, Aaron",63,M,M
"Moylan, Stephen","Washington, George",62,M,M
"Morris, Robert","Franklin, Benjamin",62,M,M
"Tatham, William","Jefferson, Thomas",62,M,M
"Adams, John","United States Congress,",62,M,M
"Thornton, William","Washington, George",62,M,M
"Gerry, Elbridge","Madison, James",62,M,M
"Davis, George","Madison, James",62,M,M
"Dickinson, Philemon","Washington, George",61,M,M
"Washington, George","Smallwood, William",61,M,M
"Boudinot, Elias","Washington, George",61,M,M
"Trumbull, John","Jefferson, Thomas",61,M,M
"Carmichael, William","Jefferson, Thomas",61,M,M
"Jefferson, Thomas","Limozin, André",61,M,M
"Adams, Thomas Boylston","Adams, John Quincy",61,M,M
