source,target,letters
"Jefferson, Martha (Martha Jefferson Randolph)","Jefferson, Thomas",69
"Appleton, Nathaniel","Hamilton, Alexander",69
"Brown, James","Jefferson, Thomas",69
"Jefferson, Thomas","Thornton, William",69
"Cutts, Richard","Madison, James",69
"Anderson, James","Washington, George",68
"Adams, John","Cranch, Richard",67
"Jefferson, Thomas","Stuart, Archibald",67
"Jefferson, Thomas","Smith, Samuel Harrison",67
"Dinsmore, James","Jefferson, Thomas",67
"Irvine, William","Washington, George",66
"Jefferson, Thomas","Rush, Benjamin",66
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Madison, James",66
"Jefferson, Thomas","Tatham, William",66
"Adams, John","United States Congress,",66
"Davis, George","Madison, James",66
"Livingston, Robert R.","Washington, George",65
"Franklin, Benjamin","Vaughan, Benjamin",65
"Barlow, Joel","Jefferson, Thomas",65
"Hamilton, Alexander","Wilkinson, James",65
"Franklin, Benjamin","Hall, David",64
"Glover, John","Washington, George",64
"Claiborne, Richard","Jefferson, Thomas",64
"Jefferson, Thomas","Newton, Thomas",64
"Jefferson, Thomas","Maury, James",64
"Derieux, Justin Pierre Plumard","Jefferson, Thomas",64
"Madison, James","Taylor, Hubbard",64
"Hamilton, Alexander","Hamtramck, John F.",64
"Dougherty, Joseph","Jefferson, Thomas",64
"Armstrong, John","Washington, George",63
"Jefferson, Thomas","Wythe, George",63
"McKean, Thomas","Washington, George",63
"Adams, John","Dumas, Charles-Guillaume-Frédéric",63
"Phillips, William","Washington, George",63
"Adams, John","Vergennes, Charles Gravier comte de",63
"Adams, John","Lee, Arthur",63
"Hay, Udny","Washington, George",63
"Jefferson, Thomas","Lyle, James",63
"Jefferson, Thomas","Wirt, William",63
"Crowninshield, Benjamin W.","Madison, James",63
"Hamilton, Alexander","Morris, Gouverneur",62
"Cutting, John Brown","Jefferson, Thomas",62
"Newenham, Edward","Washington, George",62
"Jefferson, Thomas","Pinckney, Charles",62
"Barton, Benjamin Smith","Jefferson, Thomas",62
"Jefferson, Thomas","Wilkinson, James",62
"Custis, John Parke","Washington, George",61
"Adams, John","Trumbull, John",61
"Adams, John","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de",61
"Cocke, John Hartwell","Jefferson, Thomas",61
"Franklin, Benjamin","Ingenhousz, Jan",60
"Franklin, Benjamin","Grand, Rodolphe-Ferdinand",60
"Armand Tuffin, Charles marquis de La Rouërie","Washington, George",60
"Lee, Thomas Sim","Washington, George",60
"Stark, John","Washington, George",60
"Estaing, Charles-Hector Théodat comte d’","Washington, George",60
"Adams, John","Digges, Thomas",60
"Jefferson, Thomas","Taylor, John",60
"Franklin, Benjamin","Livingston, Robert R.",60
"Carleton, Guy","Washington, George",60
"Adams, Abigail Smith","Jefferson, Thomas",60
"Jefferson, Thomas","Paradise, Lucy Ludwell",60
"Hamilton, Alexander","Lee, Charles",60
"Hamilton, Alexander","Jackson, Daniel",60
"Adams, George Washington","Adams, John",60
"Bayley, Jacob","Washington, George",59
"Skinner, Abraham","Washington, George",59
"Jefferson, Thomas","Wood, James",59
"Madison, James","Madison, James (Reverend)",59
